Index,氏名,個人DATA,試合数,チーム,背番号,ポジション,利き腕,走,S1,S2,バント,HR,2H+,2H,3H,1H*,1H+,1H,Fa,BS,BB,KS,K,ﾀﾌﾈｽ,特徴,備考,守備１,守備２,守備３,守備４,守備５,守備６,守備７,グレード,コントロール,三振,被本塁打,スタミナ,登板間隔
70,ウィック,92.11.09生 40試4勝1敗5S 防率0.84,40,25 Baystars,62,投手,右投左打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,04 03 03 02 02,06 05 05 04 03,11 10 09 07 06,14 13 11 09 08,31,37 36 35 33 32,100,60 56 50 45 40,C,WP,外国人,P=4,,,,,,,G=5.0,C=1.1,K=4,HR=*,S=2,I=1.5
71,入江　大生,98.08.26生 50試3勝3敗22S 防率3.15,50,25 Baystars,22,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,03 03 03 02 02,06 05 04 04 03,11 09 08 07 06,14 12 11 09 07,31,37 36 35 33 32,100,60 56 50 45 40,B,,,P=5,,,,,,,G=2.9,C=1.8,K=3,HR=**,S=2,I=1.0
72,宮城　滝太,00.07.15生 50試4勝1敗0S 防率2.09,50,25 Baystars,65,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,03 03 03 02 02,06 05 04 04 03,11 09 08 07 06,14 12 11 09 07,31,37 36 35 33 32,100,60 56 50 45 40,B,WP,,P=5,,,,,,,G=3.2,C=0.8,K=2,HR=*,S=2,I=1.0
73,伊勢　大夢,98.03.07生 55試0勝5敗13S 防率2.89,55,25 Baystars,13,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,03 03 03 02 02,06 05 04 04 03,11 09 08 07 06,14 12 11 09 07,31,37 36 35 33 32,100,60 56 50 45 40,B,,,P=4,,,,,,,G=2.0,C=3.0,K=3,HR=-,S=2,I=1.0
74,平良拳太郎,95.07.12生 12試4勝3敗0S 防率2.95,12,25 Baystars,59,投手,右投右打,-,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 ** **,** ** ** ** **,03 03 02 02 02,06 05 04 04 03,10 09 08 07 06,14 12 10 09 07,31,35 34 33 32 32,100,56 52 48 44 40,C,負傷60,,P=5,,,,,,,G=1.9,C=3.4,K=2,HR=-,S=6,I=6.5
75,大貫　晋一,94.02.03生 11試2勝6敗0S 防率3.09,11,25 Baystars,16,投手,右投右打,-,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 ** **,** ** ** ** **,03 03 03 02 02,06 06 05 04 03,11 10 09 08 06,15 13 11 09 08,31,35 34 34 33 32,100,67 61 54 47 40,B,負傷75(PO),,P=5,,,,,,,G=1.5,C=3.1,K=1,HR=-,S=7,I=6.5
76,石田裕太郎,02.01.22生 21試3勝5敗0S 防率3.57,21,25 Baystars,54,投手,右投右打,-,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 02 02 02 01,05 04 04 03 02,08 07 07 06 05,12 10 09 08 06,31,35 34 34 33 32,100,67 60 54 47 40,C,WP,,P=5,,,,,,,G=1.7,C=3.3,K=3,HR=**,S=5,I=5.0
77,バウアー,91.01.17生 21試4勝10敗0S 防率4.51,21,25 Baystars,96,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 02 02 02 01,05 04 04 03 03,09 08 07 06 05,12 11 09 08 07,31,36 35 34 33 32,100,55 51 47 43 40,B,WP,外国人,P=5,,,,,,,G=0.5,C=1.6,K=2,HR=**,S=7,I=5.5
78,ジャクソン,96.05.01生 25試10勝7敗0S 防率2.33,25,25 Baystars,42,投手,右投右打,S,2,25,3,01 01 01 01 00,** ** ** ** **,** ** ** ** 01,** ** ** ** **,03 03 03 02 02,05 05 04 04 03,10 08 07 06 05,12 11 10 08 07,31,38 37 35 34 33,100,44 43 42 40 39,A,WP,外国人,P=6,,,,,,,G=3.2,C=1.0,K=2,HR=-,S=7,I=5.0
79,ケイ,95.03.21生 24試9勝6敗0S 防率1.74,24,25 Baystars,69,投手,左投左打,-,2,25,3,00 00 00 00 00,01 01 ** ** **,02 ** 01 01 01,** ** ** ** **,03 03 03 02 02,05 04 04 03 03,08 07 07 06 05,12 10 09 08 06,31,38 36 35 34 32,100,57 53 48 44 40,A,WP,外国人,P=6,,,,,,,G=3.7,C=2.3,K=2,HR=-,S=7,I=5.0
80,東　克樹,95.11.29生 24試14勝8敗0S 防率2.19,24,25 Baystars,11,投手,左投左打,S,2,25,3,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,05 04 04 03 02,08 07 06 06 05,15 13 12 10 08,18 16 14 12 10,31,41 39 37 35 34,100,82 73 64 54 45,A,PO,,P=5,,,,,,,G=2.4,C=3.5,K=2,HR=-,S=8,I=5.5
81,泉口　友汰,99.05.17生 133試 率.301 6本,133,25 Giants,35,内野手,右投左打,-,3,61,2,02 01 01 01 01,03 03 03 02 02,07 06 06 05 04,08 07 ** ** 05,16 14 12 10 08,23 20 18 15 12,38 33 29 25 20,43 38 33 28 24,51,63 61 59 57 54,100,96 93 90 87 85,A,DB,,SS=4, , , , , , ,,,,,,
82,キャベッジ,97.05.03生 123試 率.267 17本,123,25 Giants,13,外野手,右投左打,F,4,64,2,05 04 04 03 03,07 07 06 05 04,12 11 10 08 07,13 ** ** ** **,17 16 14 12 10,23 21 18 15 12,33 29 26 22 18,38 34 29 25 21,51,63 61 58 56 54,100,86 78 70 62 54,A,IH,外国人,OF=3, , , , , , ,,,,,,
83,吉川　尚輝,95.02.08生 107試 率.277 3本,107,25 Giants,2,内野手,右投左打,F,4,68,2,01 01 01 00 00,02 02 02 02 01,05 05 04 03 03,06 ** 05 04 **,13 12 10 08 07,20 17 15 13 11,33 30 26 22 18,40 35 30 26 21,51,65 63 60 58 55,100,94 90 87 83 80,A,負傷30(IH),,2B=4, , , , , , ,,,,,,
84,丸　佳浩,89.04.11生 90試 率.267 6本,90,25 Giants,8,外野手,右投左打,F,4,63,2,02 02 02 02 01,05 04 04 03 02,10 09 07 06 05,11 ** 08 07 06,16 14 12 11 09,22 19 17 14 12,33 29 25 22 18,38 34 30 25 21,51,65 62 60 57 55,100,93 89 85 81 77,A,IH,5/27より使用可能,OF=3, , , , , , ,,,,,,
85,中山　礼都,02.04.12生 103試 率.265 7本,103,25 Giants,40,内野手,右投左打,S,3,58,2,03 03 02 02 02,05 04 04 03 03,08 08 07 06 05,** ** ** ** **,15 13 12 10 08,21 19 16 14 12,34 30 26 22 18,37 33 28 24 20,51,61 59 57 55 54,100,94 91 87 84 80,B,DB,,1B=2,2B=1,3B=2,OF=3, , , ,,,,,,
86,岸田　行倫,96.10.10生 87試 率.293 8本,87,25 Giants,27,捕手,右投右打,S,3,57,3,04 03 03 02 02,05 04 04 03 03,07 07 06 05 04,** ** ** ** **,14 13 11 09 08,21 19 16 14 11,34 31 27 23 19,39 35 30 26 21,51,63 61 58 56 54,100,93 89 86 82 78,B,DB,,C=5(T:-14), , , , , , ,,,,,,
87,岡本　和真,96.06.30生 69試 率.327 15本,69,25 Giants,25,内野手,右投右打,S,3,59,0,07 06 05 04 04,10 09 08 06 05,16 14 12 11 09,** 15 13 ** **,21 19 17 14 12,27 24 21 17 14,37 32 28 24 20,42 38 33 28 23,51,70 66 63 60 57,100,95 92 89 87 84,A,負傷90(DB),,1B=2,3B=5, , , , , ,,,,,,
88,増田　陸,00.06.17生 87試 率.231 5本,87,25 Giants,61,内野手,右投右打,S,3,56,2,02 02 02 02 01,04 03 03 03 02,07 06 05 04 04,** ** ** ** **,12 11 09 08 06,17 15 13 11 10,28 24 21 18 15,34 31 27 23 19,51,58 57 56 54 53,100,90 84 79 73 68,B,DB,,1B=4,2B=1, , , , , ,,,,,,
89,リチャード,99.06.18生 77試 率.211 11本,77,25 Giants,52,内野手,右投右打,S,3,59,2,05 04 04 03 03,07 06 05 04 **,10 09 07 06 05,** ** ** ** **,14 12 11 09 07,17 16 14 11 10,25 23 20 17 14,32 28 24 21 17,51,61 59 57 56 54,100,83 74 65 57 48,B,DB,5/12入団、外国人,1B=3,3B=2, , , , , ,,,,,,
90,甲斐　拓也,92.11.05生 68試 率.260 4本,68,25 Giants,10,捕手,右投右打,S,3,62,2,02 02 02 01 01,03 03 ** 02 02,05 05 04 03 03,** ** ** ** **,12 10 09 08 06,17 16 14 12 10,31 27 24 20 16,37 33 28 24 20,51,61 59 58 56 54,100,89 83 77 71 64,C,,,C=6(T:4), , , , , , ,,,,,,
91,若林　楽人,98.04.13生 86試 率.241 3本,86,25 Giants,59,外野手,右投右打,F,4,72,2,02 02 02 02 01,04 03 03 03 02,07 06 05 05 04,08 07 06 ** 05,13 11 10 08 07,17 16 13 11 10,27 24 21 18 14,31 28 24 21 17,51,61 59 57 56 54,100,92 88 83 78 74,B,負傷30(IH),,OF=3(L), , , , , , ,,,,,,
92,門脇　誠,01.01.24生 81試 率.223 0本,81,25 Giants,5,内野手,右投左打,F,4,67,3,00 00 00 00 00,01 01 01 01 01,04 04 03 03 02,05 ** 04 ** **,11 09 08 07 06,16 15 13 11 09,29 25 22 19 15,32 28 24 21 17,51,61 59 57 56 54,100,92 87 83 78 74,B,IH,,2B=2,3B=3,SS=2, , , , ,,,,,,
93,坂本　勇人,88.12.14生 62試 率.208 3本,62,25 Giants,6,内野手,右投右打,S,2,25,0,02 02 02 02 01,05 04 03 03 02,08 07 07 06 05,** ** ** ** **,13 12 10 08 07,17 16 13 11 10,27 23 20 17 14,36 32 28 23 19,51,61 59 57 56 54,100,91 85 80 75 70,C,DB,,3B=3, , , , , , ,,,,,,
94,ヘルナンデス,94.11.21生 52試 率.211 2本,52,25 Giants,42,外野手,右投右打,S,4,56,0,03 02 02 02 02,05 04 04 03 03,08 08 07 06 05,** ** ** ** **,14 12 11 09 08,19 17 15 12 10,29 26 22 19 16,33 29 25 22 18,51,64 61 59 57 55,100,90 84 79 73 68,B,負傷90(DB),外国人,OF=3, , , , , , ,,,,,,
95,佐々木俊輔,99.11.06生 53試 率.248 0本,53,25 Giants,44,外野手,右投左打,-,4,57,3,00 00 00 00 00,01 01 01 01 01,04 03 03 03 02,05 04 04 ** **,11 10 08 07 06,17 15 13 11 10,30 26 23 20 16,34 30 26 23 19,51,60 58 56 55 53,100,88 82 75 69 62,D,,,OF=3, , , , , , ,,,,,,
96,オコエ瑠偉,97.07.21生 61試 率.246 0本,61,25 Giants,50,外野手,右投右打,F,4,61,3,01 01 01 01 01,03 03 02 02 02,07 06 05 05 04,08 07 06 ** 05,14 12 11 09 07,20 17 15 13 10,31 27 24 20 16,36 31 27 23 19,51,59 58 56 55 53,100,90 84 78 72 67,C,IH,,OF=2, , , , , , ,,,,,,
97,大城　卓三,93.02.11生 56試 率.187 3本,56,25 Giants,24,捕手,右投左打,S,2,25,2,02 02 01 01 01,03 03 03 02 02,07 06 05 04 04,** ** ** ** **,11 10 09 08 06,16 14 12 10 09,25 22 19 16 14,32 28 24 21 17,51,61 59 58 56 54,100,89 82 76 70 63,C,DB,,C=4(T:10),1B=2, , , , , ,,,,,,
98,浅野　翔吾,04.11.24生 29試 率.187 2本,29,25 Giants,51,外野手,右投右打,-,3,59,2,02 02 01 01 01,04 03 03 03 02,08 07 06 06 05,** 08 07 ** **,13 11 10 08 07,16 15 13 11 09,24 22 19 16 13,31 27 24 20 16,51,59 58 56 54 53,100,90 84 79 73 68,D,DB,,OF=3, , , , , , ,,,,,,
99,荒巻　悠,02.12.23生 31試 率.296 1本,31,25 Giants,60,内野手,右投左打,-,3,56,2,01 01 01 01 00,02 02 02 ** 01,04 03 03 03 02,** ** ** ** **,10 09 08 06 05,16 14 12 11 09,28 25 22 18 15,32 28 25 21 17,51,64 61 59 57 55,100,89 83 77 70 64,D,,新人,1B=3,3B=1, , , , , ,,,,,,
100,浦田　俊輔,02.08.30生 22試 率.208 0本,22,25 Giants,32,内野手,右投左打,S,3,57,2,00 00 00 00 00,01 01 01 01 01,04 04 03 03 02,** ** ** ** **,09 08 07 06 05,14 12 11 09 07,24 21 18 15 13,28 25 21 18 15,51,60 59 57 55 53,100,91 86 81 76 71,E,DB,新人,2B=3,3B=1,SS=1, , , , ,,,,,,
101,小林　誠司,89.06.07生 14試 率.143 0本,14,25 Giants,22,捕手,右投右打,S,2,25,2,01 00 00 00 00,02 01 01 01 01,05 04 03 03 02,** ** ** ** **,08 07 06 06 05,12 11 09 08 06,20 17 15 13 10,23 21 18 15 13,51,63 61 58 56 54,100,88 81 75 68 62,E,,,C=4(T:6), , , , , , ,,,,,,
102,増田　大輝,93.07.29生 53試 率.136 0本,53,25 Giants,0,内野手,右投右打,F,4,62,3,00 00 00 00 00,02 01 01 01 01,05 04 03 03 02,** 05 04 04 03,10 09 07 06 05,14 12 10 09 07,22 19 17 14 12,26 23 20 17 14,51,57 55 54 53 52,100,88 81 74 67 61,D,,,1B=2,2B=1,3B=1,SS=1,OF=2, , ,,,,,,
103,宮原　駿介,02.09.12生 14試0勝0敗0S 防率3.68,14,25 Giants,57,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,06 05 04 04 03,10 09 08 06 05,17 16 14 12 10,21 19 16 14 11,31,34 34 33 32 31,100,72 64 56 48 40,E,,新人,P=4,,,,,,,G=0.3,C=4.0,K=3,HR=-,S=2,I=4.0
104,高梨　雄平,92.07.13生 21試0勝1敗0S 防率3.60,21,25 Giants,53,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,06 05 04 04 03,10 09 08 06 05,17 16 14 12 10,21 19 16 14 11,31,34 34 33 32 31,100,72 64 56 48 40,D,BK,,P=4,,,,,,,G=1.8,C=0.5,K=2,HR=*,S=2,I=4.0
105,平内　龍太,98.08.01生 12試1勝1敗0S 防率5.74,12,25 Giants,66,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,05 05 04 04 03,10 08 07 06 05,17 15 13 11 09,20 18 15 13 11,31,34 34 33 32 31,100,70 63 55 48 40,E,,,P=5,,,,,,,G=0.4,C=3.8,K=1,HR=-,S=2,I=4.0
106,田中　将大,88.11.01生 10試3勝4敗0S 防率5.00,10,25 Giants,11,投手,右投右打,-,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,07 06 05 04 04,10 09 08 07 06,17 16 13 11 10,21 18 16 13 11,31,34 33 32 32 31,100,65 58 52 46 40,C,負傷90(WP),,P=4,,,,,,,G=0.4,C=1.2,K=1,HR=-,S=6,I=6.5
107,ケラー,93.04.28生 45試1勝1敗0S 防率3.11,45,25 Giants,33,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,06 05 04 04 03,10 08 07 06 05,17 15 13 11 09,20 18 15 13 11,31,34 34 33 32 31,100,72 64 56 48 40,C,,外国人,P=4,,,,,,,G=4.0,C=0.3,K=4,HR=**,S=2,I=1.0
108,船迫　大雅,96.10.16生 57試2勝3敗0S 防率2.81,57,25 Giants,58,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,06 05 04 04 03,10 09 08 06 05,17 16 14 12 10,21 19 16 14 11,31,34 34 33 32 31,100,72 64 56 48 40,B,,,P=4,,,,,,,G=2.9,C=2.8,K=3,HR=**,S=2,I=1.0
109,田中　瑛斗,99.07.13生 62試1勝3敗0S 防率2.13,62,25 Giants,45,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,06 05 04 04 03,10 09 08 06 05,17 16 14 12 10,21 19 16 14 11,31,34 34 33 32 31,100,72 64 56 48 40,B,,,P=4,,,,,,,G=2.2,C=2.3,K=2,HR=-,S=2,I=0.5
110,中川　皓太,94.02.24生 63試2勝4敗0S 防率2.24,63,25 Giants,41,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,06 05 04 04 03,10 09 08 06 05,17 16 14 12 10,21 19 16 14 11,31,34 34 33 32 31,100,72 64 56 48 40,B,,,P=5,,,,,,,G=0.9,C=2.9,K=3,HR=-,S=2,I=0.5
111,西舘　勇陽,02.03.11生 15試2勝3敗0S 防率4.22,15,25 Giants,17,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 ** 01 01 01,** ** ** ** **,05 04 04 03 03,08 07 06 06 05,15 13 12 10 08,18 16 14 12 10,31,34 33 33 32 31,100,72 64 56 48 40,C,負傷60(WP),,P=5,,,,,,,G=0.5,C=2.8,K=2,HR=**,S=5,I=5.5
112,マルティネス,96.10.11生 58試3勝2敗46S 防率1.11,58,25 Giants,92,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,06 05 04 04 03,10 09 08 06 05,17 16 14 12 10,21 19 16 14 11,31,34 34 33 32 31,100,72 64 56 48 40,B,WP,外国人,P=4,,,,,,,G=5.0,C=3.9,K=4,HR=-,S=2,I=0.5
113,石川　達也,98.04.15生 41試5勝4敗0S 防率2.14,41,25 Giants,65,投手,左投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 ** 01 01 01,** ** ** ** **,06 05 04 04 03,10 09 08 06 05,19 16 14 12 10,21 19 17 14 12,31,34 33 33 32 31,100,74 65 57 49 41,B,WP,,P=5,,,,,,,G=2.7,C=2.0,K=2,HR=*,S=2,I=1.0
114,大勢,99.06.29生 62試8勝4敗1S 防率2.11,62,25 Giants,15,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,06 05 04 04 03,10 08 07 06 05,17 15 13 11 09,20 18 15 13 11,31,34 34 33 32 31,100,72 64 56 48 40,A,WP,,P=5,,,,,,,G=3.4,C=2.8,K=3,HR=-,S=2,I=0.5
115,横川　凱,00.08.30生 25試2勝0敗0S 防率2.59,25,25 Giants,62,投手,左投左打,S,2,25,3,00 00 00 00 00,01 01 ** ** **,02 ** 01 01 01,** ** ** ** **,05 05 04 03 03,08 08 07 06 05,16 14 13 11 09,20 17 15 13 10,31,34 33 32 32 31,100,75 67 58 49 41,C,BK,,P=6,,,,,,,G=1.9,C=2.2,K=1,HR=-,S=4,I=4.5
116,グリフィン,95.07.27生 14試6勝1敗0S 防率1.62,14,25 Giants,29,投手,左投左打,S,2,25,3,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,07 06 05 04 04,10 09 08 07 06,17 16 14 11 10,21 18 16 14 11,31,34 34 33 32 31,100,81 71 61 51 41,C,WP,外国人,P=4,,,,,,,G=3.8,C=2.3,K=3,HR=*,S=7,I=7.5
117,井上　温大,01.05.13生 20試4勝8敗0S 防率3.70,20,25 Giants,97,投手,左投左打,-,2,25,3,00 00 00 00 00,01 ** ** ** **,** 01 01 ** **,** ** ** ** **,05 04 03 03 02,08 07 06 05 05,16 14 12 10 08,19 17 14 12 10,31,33 33 32 32 31,100,70 63 55 48 40,B,PO,,P=4,,,,,,,G=0.1,C=3.6,K=3,HR=**,S=6,I=5.5
118,戸郷　翔征,00.04.04生 21試8勝9敗0S 防率4.14,21,25 Giants,20,投手,右投右打,S,2,25,3,00 00 00 00 00,01 ** ** ** **,** 01 01 ** **,** ** ** ** **,04 03 03 03 02,07 06 05 04 04,13 12 10 08 07,16 14 12 11 09,31,33 32 32 31 31,100,63 57 52 46 40,B,WP,,P=4,,,,,,,G=0.8,C=0.8,K=2,HR=-,S=6,I=5.5
119,赤星　優志,99.07.02生 22試6勝9敗0S 防率2.68,22,25 Giants,31,投手,右投右打,-,2,25,3,00 00 00 00 00,01 ** ** ** **,** 01 01 ** **,** ** ** ** **,05 05 04 03 03,10 09 07 06 05,19 17 14 12 10,22 19 17 14 12,31,37 36 35 34 32,100,81 72 62 52 42,B,PO,,P=6,,,,,,,G=2.1,C=3.6,K=2,HR=-,S=7,I=6.0
120,山_　伊織,98.10.10生 25試11勝4敗0S 防率2.07,25,25 Giants,19,投手,右投左打,S,2,25,3,00 00 00 00 00,02 01 01 01 01,05 04 04 03 02,** ** ** ** **,08 07 06 05 05,11 10 09 08 06,17 16 14 12 10,21 19 16 14 11,31,34 33 32 32 31,100,76 68 59 50 41,A,WP,,P=5,,,,,,,G=3.3,C=2.8,K=2,HR=-,S=7,I=5.0
121,岡林　勇希,02.02.22生 143試 率.291 5本,143,25 Dragons,1,外野手,右投左打,F,4,74,2,01 01 01 01 00,03 02 02 02 01,06 05 05 04 03,08 07 06 05 04,15 13 12 10 08,22 20 17 15 12,37 33 29 24 20,42 37 33 28 23,51,61 59 57 55 53,100,97 94 92 90 87,S,IH,,OF=4(C), , , , , , ,,,,,,
122,上林　誠知,95.08.01生 134試 率.270 17本,134,25 Dragons,51,外野手,右投左打,F,5,82,2,05 04 04 03 02,07 06 05 04 03,10 09 08 07 06,11 10 09 08 **,17 16 13 11 10,24 21 18 15 13,36 32 27 23 19,40 35 30 26 21,51,55 54 54 53 52,100,91 86 81 76 71,A,IH,,OF=3(L), , , , , , ,,,,,,
123,ボスラー,93.09.06生 122試 率.261 13本,122,25 Dragons,24,外野手,右投左打,S,3,56,0,04 03 03 02 02,07 06 05 04 04,13 12 10 08 07,14 ** ** 09 **,19 16 14 12 10,23 21 18 15 13,33 29 25 22 18,41 36 31 26 22,51,61 59 57 55 53,100,91 86 81 75 70,A,DB,外国人,1B=4,3B=2,OF=2, , , , ,,,,,,
124,細川　成也,98.08.04生 108試 率.256 20本,108,25 Dragons,55,外野手,右投右打,S,3,58,0,06 06 05 04 03,08 07 07 06 05,13 12 10 08 07,** ** ** 09 **,17 15 13 11 09,21 18 16 14 11,28 25 22 19 15,34 30 26 23 19,51,72 68 65 61 57,100,88 82 75 69 63,A,DB,,OF=3, , , , , , ,,,,,,
125,山本　泰寛,93.10.10生 112試 率.242 4本,112,25 Dragons,60,内野手,右投右打,-,3,61,3,02 01 01 01 01,03 03 02 02 02,06 05 05 04 03,07 06 ** ** 04,13 11 10 08 07,19 17 14 12 10,31 27 24 20 16,34 30 26 22 18,51,55 54 53 52 52,100,92 88 84 80 75,A,DB,,2B=2,3B=2,SS=4, , , , ,,,,,,
126,田中　幹也,00.11.28生 95試 率.270 1本,95,25 Dragons,2,内野手,右投右打,F,4,73,4,01 00 00 00 00,02 02 01 01 01,05 05 04 03 03,** ** ** 04 **,12 11 09 08 07,19 17 14 12 10,32 28 25 21 17,37 33 29 25 20,51,61 59 58 56 54,100,96 93 91 88 86,A,IH,5/6より使用可能,2B=4,SS=1, , , , , ,,,,,,
127,石伊　雄太,00.08.18生 85試 率.221 3本,85,25 Dragons,9,捕手,右投右打,S,3,56,3,02 01 01 01 01,03 03 02 02 02,06 06 05 04 03,** ** ** ** **,11 10 09 08 06,16 14 13 11 09,27 24 20 17 14,33 29 25 21 18,51,60 59 57 55 53,100,89 83 76 70 64,B,DB,新人,C=5(T:-10), , , , , , ,,,,,,
128,板山祐太郎,94.03.27生 84試 率.207 2本,84,25 Dragons,63,内野手,右投左打,S,2,25,2,02 01 01 01 01,03 02 02 02 **,05 04 04 03 03,07 06 05 04 **,12 10 09 08 06,17 15 13 11 09,27 24 21 18 15,33 29 25 21 17,51,59 57 56 54 53,100,89 83 78 72 66,B,DB,,1B=2,2B=3,3B=2,OF=2, , , ,,,,,,
129,カリステ,92.02.03生 61試 率.227 1本,61,25 Dragons,4,内野手,右投右打,S,3,58,2,01 01 01 01 01,03 03 02 02 02,07 06 05 04 03,** ** ** 05 04,12 11 10 08 07,17 16 14 12 10,29 26 22 19 16,37 33 29 24 20,51,58 57 55 54 53,100,92 87 83 78 73,B,負傷60,外国人,1B=3,3B=1,OF=2, , , , ,,,,,,
130,村松　開人,01.01.06生 54試 率.177 2本,54,25 Dragons,5,内野手,右投左打,-,4,59,3,01 01 01 01 00,02 02 02 ** 01,04 04 03 03 02,05 ** 04 ** 03,10 09 08 07 05,15 14 12 10 08,26 23 20 17 14,34 30 27 23 19,51,63 61 59 57 54,100,90 85 80 75 69,C,負傷60(DB),,SS=4, , , , , , ,,,,,,
131,ブライト健太,99.05.07生 83試 率.259 3本,83,25 Dragons,42,外野手,右投右打,S,3,56,2,03 02 02 02 01,05 04 03 03 02,08 07 06 06 05,09 08 07 ** **,14 12 11 09 08,19 17 14 12 10,28 25 22 19 15,33 29 25 21 17,51,65 62 60 57 55,100,88 82 75 69 62,B,DB,,OF=3, , , , , , ,,,,,,
132,木下　拓哉,91.12.18生 38試 率.241 2本,38,25 Dragons,35,捕手,右投右打,S,2,25,3,02 02 01 01 01,03 ** 02 02 02,05 05 04 03 03,** ** ** ** **,11 10 08 07 06,16 15 13 11 09,28 25 22 19 15,32 28 25 21 17,51,58 57 56 54 53,100,93 88 84 80 76,D,,,C=5(T:7), , , , , , ,,,,,,
133,チェイビス,95.08.11生 38試 率.171 5本,38,25 Dragons,23,内野手,右投右打,S,2,25,2,03 03 02 02 02,05 04 04 03 **,08 07 06 05 04,** ** ** ** **,12 10 09 08 06,15 14 12 10 08,23 20 18 15 12,29 26 22 19 16,51,64 61 59 57 55,100,89 82 76 70 63,B,DB,7/24入団、外国人,3B=2, , , , , , ,,,,,,
134,高橋　周平,94.01.18生 41試 率.234 0本,41,25 Dragons,3,内野手,右投左打,S,2,25,2,01 01 00 00 00,02 02 02 02 01,06 05 04 04 03,** ** ** ** **,11 10 09 08 06,17 16 13 11 10,29 26 22 19 16,33 29 26 22 18,51,60 59 57 55 53,100,90 85 79 74 68,D,,,3B=2, , , , , , ,,,,,,
135,大島　洋平,85.11.09生 59試 率.242 0本,59,25 Dragons,8,外野手,左投左打,F,4,64,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,08 08 07 06 05,15 13 11 09 08,26 23 20 17 14,30 26 23 19 16,51,58 57 55 54 53,100,93 89 84 80 76,C,,,OF=2, , , , , , ,,,,,,
136,佐藤　龍世,97.01.15生 23試 率.197 0本,23,25 Dragons,65,内野手,右投右打,S,3,59,2,01 01 01 00 00,03 02 02 02 01,06 05 05 04 03,** ** ** ** **,10 09 08 07 06,15 13 11 10 08,24 21 18 15 13,31 28 24 20 17,51,64 62 59 57 55,100,89 83 76 70 64,D,,6/17入団,3B=3, , , , , , ,,,,,,
137,加藤　匠馬,92.04.29生 47試 率.234 1本,47,25 Dragons,49,捕手,右投右打,S,2,25,3,01 01 00 00 00,** ** 01 01 01,03 03 02 02 02,04 ** 03 03 **,09 08 07 06 05,14 12 11 09 08,24 21 19 16 13,28 25 21 18 15,51,55 54 53 52 52,100,87 80 73 65 58,D,,,C=5(T:-3), , , , , , ,,,,,,
138,石川　昂弥,01.06.22生 22試 率.139 1本,22,25 Dragons,25,内野手,右投右打,S,3,56,2,01 01 01 01 01,03 02 02 02 02,06 05 05 04 03,** ** ** ** **,10 09 08 07 06,15 13 12 10 08,24 21 18 16 13,28 25 22 19 15,51,59 57 56 54 53,100,88 82 76 70 63,C,負傷120(DB),,3B=3, , , , , , ,,,,,,
139,中田　翔,89.04.22生 26試 率.159 2本,26,25 Dragons,6,内野手,右投右打,S,2,25,2,02 02 02 01 01,04 03 03 02 02,07 06 05 04 04,** ** ** ** **,11 09 08 07 06,15 13 11 09 08,22 20 17 15 12,28 24 21 18 15,51,59 57 56 54 53,100,91 86 81 76 70,C,負傷120,,1B=3, , , , , , ,,,,,,
